	 		2012							2013							2014																																																																																																																																													
	School System & School		# Tested	% Tested	Math Score	CR Score1	Writing Score3	M+CR2	M+CR+W3	# Tested	% Tested	Math Score	CR Score1	Writing Score3	M+CR2	M+CR+W3	# Tested	% Tested	Math Score	CR Score1	Writing Score3	M+CR2	M+CR+W3																																																																																																																																							
850	332	 N Stokes Mid/High 	47	52.2	509	495	457	1004	1461	45	48.4	514	476	470	990	1460	32	33.7	502	485	461	987	1448																																																																																																																																							
850	352	 South Stokes High 	85	50.3	463	462	434	925	1359	75	42.4	463	454	433	917	1350	63	40.9	480	465	442	945	1387																																																																																																																																							
850	358	 West Stokes High 	131	55.0	487	469	443	956	1399	89	46.4	477	467	455	944	1399	107	51	489	476	457	965	1422																																																																																																																																							
850	360	 Stokes Co Early College High 	2	 NA 	 * 	 * 	 * 	 * 	 * 	23	62.2	507	497	494	1004	1498	13	36.1	503	507	474	1010	1484																																																																																																																																							
860	 Surry County Schools 		227	42.1	509	479	451	988	1439	197	35.9	512	482	462	994	1456	156	25.8	513	485	455	998	1453																																																																																																																																							
860	316	 East Surry High 	77	61.6	496	469	437	965	1402	63	56.8	517	479	463	996	1459	48	37.8	524	496	464	1020	1484																																																																																																																																							
860	336	 North Surry High 	53	34.2	510	459	438	969	1407	51	27.9	518	484	469	1002	1471	44	24.2	510	485	455	995	1450																																																																																																																																							
860	352	 Surry Central High 	66	41.8	506	471	443	977	1420	63	41.7	491	467	445	958	1403	53	30.3	510	468	437	978	1415																																																																																																																																							
860	354	 Surry Early College Hs Design 	31	30.7	548	553	526	1101	1627	20	19.4	546	536	494	1082	1576	11	9.2	497	523	508	1020	1528																																																																																																																																							
861	 Elkin City Schools 		55	60.4	505	495	472	1000	1472	35	44.3	511	505	488	1016	1504	16	20	513	505	464	1018	1482																																																																																																																																							
861	308	 Elkin High 	55	60.4	505	495	472	1000	1472	35	44.3	511	505	488	1016	1504	16	20	513	505	464	1018	1482																																																																																																																																							
862	 Mount Airy City Schools 		59	57.8	548	508	489	1056	1545	62	47.7	514	505	499	1019	1518	59	46.5	511	506	479	1017	1496																																																																																																																																							
862	312	 Mount Airy High 	59	57.8	548	508	489	1056	1545	62	47.7	514	505	499	1019	1518	59	46.5	511	506	479	1017	1496																																																																																																																																							
870	 Swain County Schools 		61	45.9	490	466	447	956	1403	61	43.9	472	467	436	939	1375	52	44.1	458	443	421	901	1322																																																																																																																																							
870	314	 Swain County High 	61	47.7	490	466	447	956	1403	61	44.5	472	467	436	939	1375	52	46	458	443	421	901	1322																																																																																																																																							
880	 Transylvania County 		112	55.7	518	511	468	1029	1497	114	46.7	530	524	477	1054	1531	123	45.4	498	500	460	998	1458																																																																																																																																							
880	308	 Brevard High 	76	65.5	543	526	482	1069	1551	86	53.4	537	526	481	1063	1544	83	52.5	513	520	480	1033	1513																																																																																																																																							
880	328	 Rosman Middle/High 	36	51.4	465	478	439	943	1382	28	40.0	509	518	464	1027	1491	40	44	466	459	420	925	1345																																																																																																																																							
890	 Tyrrell County Schools 		33	66.0	461	448	438	909	1347	15	53.6	465	448	438	913	1351	8	29.6	411	448	424	859	1283																																																																																																																																							
890	304	 Columbia High 	33	66.0	461	448	438	909	1347	15	53.6	465	448	438	913	1351	8	29.6	411	448	424	859	1283																																																																																																																																							
900	 Union County Public Schools		1734	70.8	529	507	493	1036	1529	1786	66.8	523	506	495	1029	1524	1872	65.7	526	506	492	1032	1524																																																																																																																																							
900	311	 Cuthbertson High 	197	83.5	531	510	497	1041	1538	230	79.3	526	513	505	1039	1544	227	78	541	524	507	1065	1572																																																																																																																																							
900	316	 Forest Hills High 	70	40.5	479	439	423	918	1341	97	48.3	444	429	406	873	1279	94	43.1	438	430	412	868	1280																																																																																																																																							
900	336	 Monroe High 	69	42.3	430	411	396	841	1237	77	42.3	408	387	377	795	1172	96	54.9	405	384	392	789	1181																																																																																																																																							
900	342	 Porter Ridge High 	199	66.6	512	493	479	1005	1484	184	57.1	504	495	472	999	1471	222	61	516	504	480	1020	1500																																																																																																																																							
900	344	 Parkwood High 	103	62.4	515	508	503	1023	1526	90	45.0	515	503	496	1018	1514	106	48.4	504	493	481	997	1478																																																																																																																																							
900	348	 Piedmont High 	142	67.9	521	487	461	1008	1469	150	63.8	513	485	480	998	1478	156	57.8	515	493	472	1008	1480																																																																																																																																							
900	360	 Sun Valley High 	179	64.2	511	479	471	990	1461	159	56.4	499	487	471	986	1457	170	58.8	505	483	467	988	1455																																																																																																																																							
900	366	 Centralacademy Of Technology 	158	79.8	532	522	493	1054	1547	162	86.2	530	521	499	1051	1550	150	72.8	529	518	498	1047	1545																																																																																																																																							
900	367	 Union County Early College Hig 	55	59.1	562	542	518	1104	1622	54	56.3	570	563	536	1133	1669	60	57.7	556	549	522	1105	1627																																																																																																																																							
900	377	 Weddington High 	265	88.9	557	534	518	1091	1609	256	91.1	543	528	519	1071	1590	285	85.8	546	526	515	1072	1587																																																																																																																																							
900	393	 Marvin Ridge High 	297	100.0	562	541	536	1103	1639	327	95.6	573	546	546	1119	1665	306	93	583	548	545	1131	1676																																																																																																																																							
90A 	 Union Academy 			   	   	   	   	   	   	72	86.7	499	500	489	999	1488	74	85.1	512	514	502	1026	1528																																																																																																																																							
910	 Vance County Schools 		217	53.4	443	418	419	861	1280	215	49.0	441	422	419	863	1282	189	45.8	430	412	408	842	1250																																																																																																																																							
910	364	 Southern Vance High 	83	53.2	430	395	398	825	1223	84	58.3	413	390	381	803	1184	75	58.6	427	393	387	820	1207																																																																																																																																							
910	370	 Northern Vance High 	92	46.2	457	431	423	888	1311	104	50.2	458	443	441	901	1342	89	42.6	431	420	419	851	1270																																																																																																																																							
910	382	 Vance County Early College Hig 	41	91.1	439	439	452	878	1330	27	38.0	459	444	453	903	1356	25	43.1	434	437	435	871	1306																																																																																																																																							
920	 Wake County Schools 		6602	74.4	543	520	502	1063	1565	6243	69.0	541	523	508	1064	1572	6318	65.1	542	528	507	1070	1577																																																																																																																																							
920	316	 Apex High 	445	85.7	589	543	526	1132	1658	458	81.9	585	554	540	1139	1679	418	76.6	574	553	534	1127	1661																																																																																																																																							
920	318	 Athens Drive High 	287	78.4	561	528	516	1089	1605	301	76.4	561	532	521	1093	1614	289	67.4	561	542	525	1103	1628																																																																																																																																							
920	348	 Needham Broughton High 	420	82.7	549	543	517	1092	1609	348	70.0	543	529	516	1072	1588	300	68.8	537	530	508	1067	1575																																																																																																																																							
920	368	 Cary High 	343	70.1	559	531	511	1090	1601	338	65.0	559	550	529	1109	1638	280	53.4	551	540	517	1091	1608																																																																																																																																							
920	412	 William G Enloe High 	451	77.1	579	565	548	1144	1692	372	69.5	577	565	549	1142	1691	392	66.2	590	576	558	1166	1724																																																																																																																																							
920	428	 Fuquay-Varina High 	279	61.6	526	499	478	1025	1503	201	47.6	530	515	492	1045	1537	196	48	518	515	486	1033	1519																																																																																																																																							
920	436	 Garner High 	290	67.4	485	472	449	957	1406	288	63.0	484	480	456	964	1420	275	52.8	490	482	456	972	1428																																																																																																																																							
920	441	 Green Hope High 	449	94.7	600	554	545	1154	1699	428	91.5	601	564	552	1165	1717	450	89.8	611	578	567	1189	1756																																																																																																																																							
920	445	 Heritage High 	5	100.0	400	422	384	822	1206	243	73.2	514	495	483	1009	1492	282	70.3	507	503	486	1010	1496																																																																																																																																							
920	455	 Holly Springs High 	316	76.0	544	526	505	1070	1575	370	72.5	523	510	495	1033	1528	389	73.1	544	530	500	1074	1574																																																																																																																																							
920	466	 Knightdale High 	239	59.6	477	464	443	941	1384	167	49.4	476	463	443	939	1382	149	39.4	459	450	431	909	1340																																																																																																																																							
920	473	 Leesville Road High 	373	76.6	576	540	525	1116	1641	397	75.6	558	530	517	1088	1605	392	75.4	563	537	510	1100	1610																																																																																																																																							
920	495	 Middle Creek High 	299	79.3	530	505	487	1035	1522	257	66.2	524	512	502	1036	1538	272	60.4	534	526	509	1060	1569																																																																																																																																							
920	500	 Millbrook High 	398	72.8	508	492	475	1000	1475	303	68.1	517	500	490	1017	1507	414	66.6	522	511	491	1033	1524																																																																																																																																							
920	526	 Panther Creek High School 	465	86.3	571	541	533	1112	1645	453	84.5	562	548	537	1110	1647	445	77.9	574	557	541	1131	1672																																																																																																																																							
920	528	 Phillips High 	7	13.0	369	363	380	732	1112	3	5.4	 * 	 * 	 * 	 * 	 * 	1	1.7	 * 	 * 	 * 	 * 	 * 																																																																																																																																							
920	552	 Sanderson High 	319	74.2	532	519	497	1051	1548	293	66.6	540	527	504	1067	1571	302	63.6	546	538	512	1084	1596																																																																																																																																							
920	562	 Southeast Raleigh High 	216	66.7	478	471	453	949	1402	185	57.1	462	459	432	921	1353	233	63.3	466	459	435	925	1360																																																																																																																																							
920	583	 Wake Early College Of Health & 	50	83.3	550	553	547	1103	1650	35	77.8	573	568	566	1141	1707	47	65.3	556	551	539	1107	1646																																																																																																																																							
920	588	 Wake Forest High 	338	69.7	511	501	478	1012	1490	276	65.6	520	504	485	1024	1509	287	67.1	518	503	478	1021	1499																																																																																																																																							
920	595	 Wakefield High 	508	82.3	525	504	488	1029	1517	394	72.4	534	508	496	1042	1538	364	67.7	524	504	486	1028	1514																																																																																																																																							
920	700	 East Wake Health Science 	35	42.7	442	436	429	878	1307	53	56.4	456	454	440	910	1350	48	51.1	466	469	456	935	1391																																																																																																																																							
920	701	 East Wake School Of Integrated 	14	26.4	427	410	406	837	1243	17	37.8	424	404	404	828	1232	22	33.8	454	456	437	910	1347																																																																																																																																							
920	702	" East Wake School Of Arts, Ed &"	28	28.0	474	448	435	922	1357	25	27.8	452	462	453	914	1367	33	33	438	425	418	863	1281																																																																																																																																							
920	703	 East Wake School Of Engineerin 	28	34.6	505	461	433	966	1399	38	56.7	502	473	442	975	1417	38	48.7	471	461	443	932	1375																																																																																																																																							
92F 	 Franklin Academy 		73	90.1	552	554	518	1106	1624	84	95.5	543	529	507	1072	1579	82	89.1	534	552	518	1086	1604																																																																																																																																							
92G 	 East Wake Academy 		53	84.1	457	465	466	922	1388	26	44.8	464	492	477	956	1433	45	66.2	488	519	497	1007	1504																																																																																																																																							
92K 	 Raleigh Charter High 		141	100.0	630	624	604	1254	1858	119	93.7	648	643	623	1291	1914	129	95.6	651	649	629	1300	1929																																																																																																																																							
92P 	 Southern Wake Academ 		13	59.1	488	486	442	974	1416	14	45.2	501	503	462	1004	1466	18	46.2	447	450	448	897	1345																																																																																																																																							
930	 Warren County School 		131	73.2	417	403	397	820	1217	114	62.3	394	388	377	782	1159	104	61.5	418	412	402	830	1232																																																																																																																																							
930	352	 Warren County High 	81	67.5	390	379	374	769	1143	65	67.7	375	373	362	748	1110	49	62.8	400	399	393	799	1192																																																																																																																																							
930	360	 Warren Early College High 	17	77.3	488	435	442	923	1365	16	32.7	466	458	438	924	1362	21	42	478	470	448	948	1396																																																																																																																																							
930	700	 Warren New Tech High 	33	89.2	446	445	431	891	1322	33	86.8	396	384	376	780	1156	34	82.9	406	394	386	800	1186																																																																																																																																							
93A 	 Haliwa-Saponi Tribal 		6	54.5	472	417	402	889	1291	4	50.0	 * 	 * 	 * 	 * 	 * 	2	20	 * 	 * 	 * 	 * 	 * 																																																																																																																																							
940	 Washington County Schools 		65	55.1	407	385	385	792	1177	84	68.9	413	391	394	804	1198	74	56.1	426	401	388	827	1215																																																																																																																																							
940	308	 Creswell High 	8	42.1	384	379	388	763	1151	16	59.3	436	427	429	863	1292	11	50	465	445	403	910	1313																																																																																																																																							
940	316	 Plymouth High 	57	57.6	410	386	385	796	1181	68	71.6	408	382	386	790	1176	63	57.3	419	393	385	812	1197																																																																																																																																							
950	 Watauga County Schoo 		223	72.6	547	534	506	1081	1587	231	74.5	541	546	518	1087	1605	209	63.3	549	548	520	1097	1617																																																																																																																																							
950	336	 Watauga High 	223	72.6	547	534	506	1081	1587	231	74.5	541	546	518	1087	1605	209	63.3	549	548	520	1097	1617																																																																																																																																							
960	 Wayne County Public 		558	49.7	481	461	439	942	1381	462	40.3	476	463	438	939	1377	448	38.1	481	469	438	950	1388																																																																																																																																							
960	324	 Charles B Aycock High 	110	54.2	492	478	443	970	1413	93	36.2	505	488	462	993	1455	91	40.6	517	489	457	1006	1463																																																																																																																																							
960	330	 Eastern Wayne High 	101	46.1	500	474	464	974	1438	95	47.3	485	469	449	954	1403	114	51.1	495	483	458	978	1436																																																																																																																																							
960	335	 Goldsboro High 	52	49.1	403	390	365	793	1158	46	41.4	389	383	373	772	1145	41	33.3	397	406	363	803	1166																																																																																																																																							
960	372	 Rosewood High 	62	54.4	481	459	426	940	1366	55	44.7	471	479	438	950	1388	38	38	484	498	453	982	1435																																																																																																																																							
960	380	 Southern Wayne High 	74	36.8	431	405	391	836	1227	69	35.8	449	429	395	878	1273	70	34.5	430	418	390	848	1238																																																																																																																																							
960	386	 Spring Creek High 	44	38.6	486	456	437	942	1379	24	23.8	532	485	493	1017	1510	26	22.6	517	463	440	980	1420																																																																																																																																							
960	490	 Wayne Early/Middle College 	59	76.6	527	506	497	1033	1530	29	41.4	555	536	509	1091	1600	26	34.2	537	527	509	1064	1573																																																																																																																																							
960	700	 Wayne School Of Engineering At 	56	81.2	507	504	472	1011	1483	51	75.0	452	454	425	906	1331	42	49.4	468	475	434	943	1377																																																																																																																																							
970	 Wilkes County School 		296	54.2	510	496	468	1006	1474	244	41.4	505	493	476	998	1474	208	30.6	495	492	458	987	1445																																																																																																																																							
970	320	 East Wilkes High 	51	49.5	502	495	468	997	1465	43	45.3	489	484	469	973	1442	43	38.7	481	488	447	969	1416																																																																																																																																							
970	356	 North Wilkes High 	50	54.3	483	472	452	955	1407	38	34.5	481	484	458	965	1423	32	22.2	483	480	438	963	1401																																																																																																																																							
970	388	 West Wilkes High 	83	52.2	514	500	471	1014	1485	59	40.4	495	485	468	980	1448	56	34.1	484	488	465	972	1437																																																																																																																																							
970	390	 Wilkes Central High 	112	58.3	522	503	472	1025	1497	101	51.8	527	505	489	1032	1521	67	37	522	508	473	1030	1503																																																																																																																																							
970	393	 Wilkes Early College High 		   	   	   	   	   	   	3	6.8	 * 	 * 	 * 	 * 	 * 	10	12.5	478	472	435	950	1385																																																																																																																																							
980	 Wilson County School 		396	50.9	490	467	444	957	1401	362	48.3	490	463	449	953	1402	347	46.4	487	463	440	950	1390																																																																																																																																							
980	318	 Beddingfield High 	85	40.7	459	430	409	889	1298	57	28.5	467	430	406	897	1303	57	34.1	447	418	402	865	1267																																																																																																																																							
980	336	 Fike High 	150	54.7	501	486	464	987	1451	139	60.2	503	474	461	977	1438	130	53.7	503	477	447	980	1427																																																																																																																																							
980	342	 Hunt High 	159	54.3	495	467	443	962	1405	147	51.0	482	459	446	941	1387	127	45.5	491	466	447	957	1404																																																																																																																																							
980	398	 Wilson Early College Academy 	2	100.0	 * 	 * 	 * 	 * 	 * 	19	61.3	525	506	510	1031	1541	33	55	480	475	450	955	1405																																																																																																																																							
990	 Yadkin County School 		171	44.2	502	476	443	978	1421	163	41.9	500	470	457	970	1427	142	33.6	480	465	438	945	1383																																																																																																																																							
990	322	 Forbush High 	75	41.4	494	465	432	959	1391	86	45.3	496	469	454	965	1419	82	40.6	481	464	431	945	1376																																																																																																																																							
990	326	 Starmount High 	71	48.3	502	468	438	970	1408	63	44.7	497	464	451	961	1412	48	32.2	464	449	434	913	1347																																																																																																																																							
990	332	 Yadkin Early College 	25	42.4	528	530	487	1058	1545	14	24.1	539	508	506	1047	1553	12	17.4	538	535	500	1073	1573																																																																																																																																							
995	 Yancey County Schools 		80	53.0	510	508	465	1018	1483	43	40.2	494	488	466	982	1448	64	37.4	499	492	455	991	1446																																																																																																																																							
995	330	 Mountain Heritage High 	80	53.0	510	508	465	1018	1483	43	40.2	494	488	466	982	1448	64	37.4	499	492	455	991	1446																																																																																																																																							
																																																																																																																																																														
1CR=Critical Reading 																																																																																																																																																														
2M+CR=Math + Critical Reading 																																																																																																																																																														
3M+CR+W=Math+Critical Reading+Writing																																																																																																																																																														
"4In the Winston-Salem/Forsyth County School district, the Sch of Comp Tech at Atkins High (340700), the Sch of Biot at Atkins High (340701), and the Sch of Pre-Engin at Atkins High (340702) closed July, 1, 2011;"																																																																																																																																																														
"5SAT data for Garinger High School were not included in the 2014 North Carolina public school SAT data file; however, the scores were verified by the College Board and have been included in the Charlotte-Meckenlenburg school district totals."																																																																																																																																																														
" Atkins Academic & Technology High (340311) opened July 1, 2011.  The number of test takers and SAT scores for the three closed schools were consolidated under the new school (Atkins Academic & Technology High - 340311)."																																																																																																																																																														
  																																																																																																																																																														
Note:  United States and North Carolina totals include all schools (public and non-public);  Percent tested is the number of students taking the SAT divided by the fourth month ADM for grades 12-13 + Extended Day 12-13. 																																																																																																																																																														
"All scores in this table have been adjusted and reflect senior test takers who took the SAT at any point during a given year through June.  These scores are not directly comparable with unadjusted scores, i.e. "																	 																																																																																																																																													
scores based on cohorts of senior test takers only through March; An asterisk (*) indicates that there were fewer than five test takers.																																																																																																																																																														
																																																																																																																																																														
																																																																																																																																																														
																																																																																																																																																														
																																																																																																																																																														
