,School System & School,# Tested,% Tested,Math Score,CR Score1,Writing Score3,M+CR2,M+CR+W3
317, Polk Co. Virtual Early College ,5,38.5,486,562,496,1048,1544
318, Polk County High ,48,32.4,521,496,462,1017,1479
760, Randolph County Schools ,459,38.2,486,470,446,956,1402
318, Eastern Randolph High ,55,34.4,446,466,434,912,1346
339, Providence Grove High ,69,36.5,478,454,437,932,1369
348, Randleman High ,62,33,472,445,427,917,1344
354, Randolph Early College High ,43,68.3,517,515,484,1032,1516
358, Southwestern High ,86,31,494,476,440,970,1410
380, Trinity High ,58,38.9,515,475,459,990,1449
388, Wheatmore High ,86,48.6,487,472,452,959,1411
761, Asheboro City Schools ,132,52.6,473,469,449,942,1391
304, Asheboro High ,132,52.6,473,469,449,942,1391
770, Richmond County Schools ,138,24.2,442,435,420,877,1297
348, Richmond Senior High ,124,27.3,439,429,416,868,1284
349, Richmond Early College High ,14,37.8,469,493,452,962,1414
780,Robeson County Public Schools ,472,33.5,439,426,410,865,1275
325, Fairmont High ,47,38.5,435,418,398,853,1251
342, Lumberton Senior High ,173,39.5,452,439,419,891,1310
385, Robeson County Early College ,26,40.6,515,536,486,1051,1537
391, Red Springs High ,49,29.2,392,384,389,776,1165
401, Saint Pauls High ,26,15.2,455,452,426,907,1333
402, South Robeson High ,51,45.5,388,375,362,763,1125
420, Purnell Swett High ,100,30,444,418,411,862,1273
790, Rockingham County Schools ,402,43,478,469,442,947,1389
314, Dalton Mcmichael High ,109,48,468,460,423,928,1351
354, John M Morehead High ,95,46.6,474,475,448,949,1397
366, Reidsville High ,87,51.2,446,435,421,881,1302
378, Rockingham Co High ,89,40.5,523,505,477,1028,1505
379, Rockinghan County Early Colleg ,22,19.8,482,483,445,965,1410
800, Rowan-Salisbury Schools ,581,45,482,471,446,953,1399
308, Henderson Independent Hs ,3,37.5, * , * , * , * , * 
340, East Rowan High ,89,42.8,508,476,462,984,1446
361, Jesse C. Carson High ,104,38.8,473,456,421,929,1350
376, North Rowan High ,50,34,411,412,391,823,1214
394, Rowan County Early College ,45,90,508,498,476,1006,1482
396, Salisbury High ,86,49.1,536,517,491,1053,1544
400, South Rowan High ,90,43.1,488,479,456,967,1423
408, West Rowan High ,114,50.7,448,456,431,904,1335
810, Rutherford County Schools ,253,43.7,465,456,436,921,1357
324, Chase High ,53,40.5,440,433,407,873,1280
340, East Rutherford High ,93,55.4,450,439,428,889,1317
384, R S Central ,94,41.6,485,474,451,959,1410
385, Rutherford County Early Col Hi ,12,35.3,542,558,518,1100,1618
386, Rutherford Opportunity Center ,1,5, * , * , * , * , * 
81A , Thomas Jefferson Class Academy ,59,95.2,559,562,528,1121,1649
820, Sampson County Schools ,246,39.3,452,446,414,898,1312
324, Sampson Early College High ,27,32.5,490,498,448,988,1436
348, Hobbton High ,43,32.1,442,433,393,875,1268
349, Lakewood High ,59,48,424,413,399,837,1236
352, Midway High ,73,47.4,480,480,448,960,1408
388, Union High ,44,33.3,428,417,378,845,1223
821, Clinton City Schools ,114,70.4,461,447,431,908,1339
308, Clinton High ,114,70.4,461,447,431,908,1339
830, Scotland County Schools ,216,58.1,445,432,401,877,1278
316, East Laurinburg Alternative ,1,8.3, * , * , * , * , * 
343, Scotland High ,202,63.9,443,429,399,872,1271
348, Scotland Early College High ,13,29.5,473,485,437,958,1395
840, Stanly County School ,218,37.5,486,456,434,942,1376
302, Albemarle High ,34,40,456,426,414,882,1296
332, North Stanly High ,54,39.4,474,451,423,925,1348
356, South Stanly High ,43,43.4,487,460,433,947,1380
361, Stanly Early College High Scho ,11,17.5,555,540,519,1095,1614
368, West Stanly High ,76,39.8,498,458,438,956,1394
84B , Gray Stone Day ,87,96.7,570,567,546,1137,1683
850, Stokes County Schools ,215,43.2,489,476,454,965,1419
332, N Stokes Mid/High ,32,33.7,502,485,461,987,1448
352, South Stokes High ,63,40.9,480,465,442,945,1387
358, West Stokes High ,107,51,489,476,457,965,1422
360, Stokes Co Early College High ,13,36.1,503,507,474,1010,1484
860, Surry County Schools ,156,25.8,513,485,455,998,1453
316, East Surry High ,48,37.8,524,496,464,1020,1484
336, North Surry High ,44,24.2,510,485,455,995,1450
352, Surry Central High ,53,30.3,510,468,437,978,1415
354, Surry Early College Hs Design ,11,9.2,497,523,508,1020,1528
861, Elkin City Schools ,16,20,513,505,464,1018,1482
308, Elkin High ,16,20,513,505,464,1018,1482
862, Mount Airy City Schools ,59,46.5,511,506,479,1017,1496
312, Mount Airy High ,59,46.5,511,506,479,1017,1496
870, Swain County Schools ,52,44.1,458,443,421,901,1322
314, Swain County High ,52,46,458,443,421,901,1322
880, Transylvania County ,123,45.4,498,500,460,998,1458
308, Brevard High ,83,52.5,513,520,480,1033,1513
328, Rosman Middle/High ,40,44,466,459,420,925,1345
890, Tyrrell County Schools ,8,29.6,411,448,424,859,1283
304, Columbia High ,8,29.6,411,448,424,859,1283
900, Union County Public Schools,1872,65.7,526,506,492,1032,1524
311, Cuthbertson High ,227,78,541,524,507,1065,1572
316, Forest Hills High ,94,43.1,438,430,412,868,1280
336, Monroe High ,96,54.9,405,384,392,789,1181
342, Porter Ridge High ,222,61,516,504,480,1020,1500
344, Parkwood High ,106,48.4,504,493,481,997,1478
348, Piedmont High ,156,57.8,515,493,472,1008,1480
360, Sun Valley High ,170,58.8,505,483,467,988,1455
366, Centralacademy Of Technology ,150,72.8,529,518,498,1047,1545
367, Union County Early College Hig ,60,57.7,556,549,522,1105,1627
377, Weddington High ,285,85.8,546,526,515,1072,1587
393, Marvin Ridge High ,306,93,583,548,545,1131,1676
90A , Union Academy ,74,85.1,512,514,502,1026,1528
910, Vance County Schools ,189,45.8,430,412,408,842,1250
364, Southern Vance High ,75,58.6,427,393,387,820,1207
370, Northern Vance High ,89,42.6,431,420,419,851,1270
382, Vance County Early College Hig ,25,43.1,434,437,435,871,1306
920, Wake County Schools ,6318,65.1,542,528,507,1070,1577
316, Apex High ,418,76.6,574,553,534,1127,1661
318, Athens Drive High ,289,67.4,561,542,525,1103,1628
348, Needham Broughton High ,300,68.8,537,530,508,1067,1575
368, Cary High ,280,53.4,551,540,517,1091,1608
412, William G Enloe High ,392,66.2,590,576,558,1166,1724
428, Fuquay-Varina High ,196,48,518,515,486,1033,1519
436, Garner High ,275,52.8,490,482,456,972,1428
441, Green Hope High ,450,89.8,611,578,567,1189,1756
445, Heritage High ,282,70.3,507,503,486,1010,1496
455, Holly Springs High ,389,73.1,544,530,500,1074,1574
466, Knightdale High ,149,39.4,459,450,431,909,1340
473, Leesville Road High ,392,75.4,563,537,510,1100,1610
495, Middle Creek High ,272,60.4,534,526,509,1060,1569
500, Millbrook High ,414,66.6,522,511,491,1033,1524
526, Panther Creek High School ,445,77.9,574,557,541,1131,1672
528, Phillips High ,1,1.7, * , * , * , * , * 
552, Sanderson High ,302,63.6,546,538,512,1084,1596
562, Southeast Raleigh High ,233,63.3,466,459,435,925,1360
583, Wake Early College Of Health & ,47,65.3,556,551,539,1107,1646
588, Wake Forest High ,287,67.1,518,503,478,1021,1499
595, Wakefield High ,364,67.7,524,504,486,1028,1514
700, East Wake Health Science ,48,51.1,466,469,456,935,1391
701, East Wake School Of Integrated ,22,33.8,454,456,437,910,1347
702," East Wake School Of Arts, Ed &",33,33,438,425,418,863,1281
703, East Wake School Of Engineerin ,38,48.7,471,461,443,932,1375
92F , Franklin Academy ,82,89.1,534,552,518,1086,1604
92G , East Wake Academy ,45,66.2,488,519,497,1007,1504
92K , Raleigh Charter High ,129,95.6,651,649,629,1300,1929
92P , Southern Wake Academ ,18,46.2,447,450,448,897,1345
930, Warren County School ,104,61.5,418,412,402,830,1232
352, Warren County High ,49,62.8,400,399,393,799,1192
360, Warren Early College High ,21,42,478,470,448,948,1396
700, Warren New Tech High ,34,82.9,406,394,386,800,1186
93A , Haliwa-Saponi Tribal ,2,20, * , * , * , * , * 
940, Washington County Schools ,74,56.1,426,401,388,827,1215
308, Creswell High ,11,50,465,445,403,910,1313
316, Plymouth High ,63,57.3,419,393,385,812,1197
950, Watauga County Schoo ,209,63.3,549,548,520,1097,1617
336, Watauga High ,209,63.3,549,548,520,1097,1617
960, Wayne County Public ,448,38.1,481,469,438,950,1388
324, Charles B Aycock High ,91,40.6,517,489,457,1006,1463
330, Eastern Wayne High ,114,51.1,495,483,458,978,1436
335, Goldsboro High ,41,33.3,397,406,363,803,1166
372, Rosewood High ,38,38,484,498,453,982,1435
380, Southern Wayne High ,70,34.5,430,418,390,848,1238
386, Spring Creek High ,26,22.6,517,463,440,980,1420
490, Wayne Early/Middle College ,26,34.2,537,527,509,1064,1573
700, Wayne School Of Engineering At ,42,49.4,468,475,434,943,1377
970, Wilkes County School ,208,30.6,495,492,458,987,1445
320, East Wilkes High ,43,38.7,481,488,447,969,1416
356, North Wilkes High ,32,22.2,483,480,438,963,1401
388, West Wilkes High ,56,34.1,484,488,465,972,1437
390, Wilkes Central High ,67,37,522,508,473,1030,1503
393, Wilkes Early College High ,10,12.5,478,472,435,950,1385
980, Wilson County School ,347,46.4,487,463,440,950,1390
318, Beddingfield High ,57,34.1,447,418,402,865,1267
336, Fike High ,130,53.7,503,477,447,980,1427
342, Hunt High ,127,45.5,491,466,447,957,1404
398, Wilson Early College Academy ,33,55,480,475,450,955,1405
990, Yadkin County School ,142,33.6,480,465,438,945,1383
322, Forbush High ,82,40.6,481,464,431,945,1376
326, Starmount High ,48,32.2,464,449,434,913,1347
332, Yadkin Early College ,12,17.4,538,535,500,1073,1573
995, Yancey County Schools ,64,37.4,499,492,455,991,1446
330, Mountain Heritage High ,64,37.4,499,492,455,991,1446
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,, ,,,,,,
